 	Identification	Name	Group of collection	Collection		Strain type		Synonyms	Reference équilibre	Date d'isolement	T ° of incubation	Bibliography	Sequence reference	Private Strain	Genotype	strain MOT	Wanted MTA	GMO strain	Restrictions on the dissemination	History of deposit	Isolated from	Properties	Classification	Clinical shape	Phenotype	Comments	Sequence reference	pathogenicity	Lieu	Classe emballage	Atmosphère incubation	Medium 
74	PCC 7007	Gloeocapsa	Cyanobactéries	PCC	407			Gloeocapsa membranina			22°			false		false	false	false		J. B. Waterbury <- (I) J. West as Gloeocapsa membranina	Source unknown	Salt tolerance: stenohaline Pigments C-PE: + Pigments PEC: - CCA: I W/D (vegetatives cells): 9 - 10 W/D (transient stages): n/a Gas vesicles: - Designation: ATCC 27269 								B	Aerobic	1552
75	PCC 7008	Synechocystis	Cyanobactéries	PCC	407					01-01-1970	22°	J. Gen. Microbiol., 1979, 111, 1-61.		false		false	false	false		A. Neilson as Aphanocapsa IVA f	Shallow pond	%G+C: 44.9 Nutrition: obligate autotroph Salt tolerance: euryhaline N2 fixation: - Pigments C-PE: - Pigments PEC: - CCA: - W/D (vegetatives cells): nd W/D (transient stages): n/a Motility: - Gas vesicles: - Designation: ATCC 29110 							Point Reyes Peninsula, California, U.S.A.	B	Aerobic	1539
76	PCC 7009	Cyanobium	Cyanobactéries	PCC	407			 		01-01-1970	22°	J. Gen. Microbiol., 1979, 111, 1-61.		false		false	false	false		A. Neilson as Synechococcus P=B	Low salinity brine pond	%G+C: 66.6 Genome size (Gdal): 2.44 Nutrition: obligate autotroph Salt tolerance: stenohaline N2 fixation: - Pigments C-PE: - Pigments PEC: - CCA: - W/D (vegetatives cells): 0.8 - 1 W/D (transient stages): n/a Phages (res): AS-1M and SM-1 Motility: - Gas vesicles: - Designation: ATCC 29203 as Synechococcus sp. 							Newark, California, U.S.A.	B	Aerobic	1539
77	PCC 7101	Tolypothrix	Cyanobactéries	PCC	407			Calothrix sp.	NIBB 1027;NIES 37;CCAP 1482/3B as Tolypothrix tenuis;ACMM 399 as Calothrix sp.;IAM M-29;SAG 1482-3 (no longer available);SAG 94.79 as Tolypothrix tenuis	01-01-1950	22°	J. Gen. Appl. Microbiol., 1959, 5, 21-29; J. Gen. Microbiol., 1979, 111, 1-61; Methods Enzymol., 1988, 167, 28-67; Catalogue & Taxonomic Handbook, 1992, Institut Pasteur, Paris, 1-103; Subsection IV, in «Bergey's Manual of Systematic Bacteriology», 2001b, 2nd Ed., 1, 562-589.		false		false	false	false		R. Rippka <- (P) W. Koch as Tolypothrix tenuis SAG 1482-3 <- (P) A. Watanabe as Tolypothrix tenuis Kütz: strain M-29	Soil, sample	%G+C: 41.2 Genome size (Gdal): 7.75 Nutrition: chemoheterotroph N2 fixation: aerobic Pigments C-PE: + Pigments PEC: - CCA: III W/D (transient stages): nd W/D (vegetatives cells): nd Motility: transient Gas vesicles: transient, dispersed Designation: ATCC 27914 							Borneo	B		1547
78	PCC 7102	Calothrix	Cyanobactéries	PCC	407			 	IRRI Cx 18 Cl;DCC D0270 as Calothrix desertica;SAG 35.79 as Calothrix desertica	01-01-1958	22°	Osterreichische botan. Zeitschrift, 1960, 107, 281-309; J. Gen. Microbiol., 1979, 111, 1-61; Catalogue & Taxonomic Handbook, 1992, Institut Pasteur, Paris, 1-103; Subsection IV, in «Bergey's Manual of Systematic Bacteriology», 2001b, 2nd Ed., 1, 562-589.		false		false	false	false		R. Rippka <- (I) W. Koch, SAG <- (I) G. H. Schwabe as Calothrix desertica	Soil, fine desert sand	%G+C: 39.8 Genome size (Gdal): 8.58 Nutrition: photoheterotroph N2 fixation: aerobic Pigments C-PE: - Pigments PEC: - CCA: - W/D (vegetatives cells): nd W/D (transient stages): nd Motility: transient CCA: - Designation: ATCC 27901 				                      Notice&nbsp;:&nbsp; This strain is cryopreserved. Thus, a delay of 1 to 4 months is necessary before dispatch.  &nbsp;  &nbsp;  &nbsp;      			near La Portado, Antofagasta, Chile	B	Aerobic	1547
79	PCC 7103	Calothrix	Cyanobactéries	PCC	407			Gloeotrichia sp., Nodularia sphaerocarpa	UTEX B 583 as Gloeotrichia sp.;CCALA 034;SAG 1466-1 as Calothrix sp.		22°	J. Gen. Microbiol., 1979, 111, 1-61; Subsection IV, in «Bergey's Manual of Systematic Bacteriology», 2001b, 2nd Ed., 1, 562-589.		false		false	false	false		R. Rippka <- (I) W. Koch as Nodularia sphaerocarpa SAG 1466-1 <- M. B. Allen as Nodularia sphaerocarpa M-11.1.1	Herbarium specimen of Anacystis montana	%G+C: 39.8 Genome size (Gdal): 5.23 Nutrition: chemoheterotroph N2 fixation: aerobic Pigments C-PE: + Pigments PEC: - CCA: III W/D (transient stages): nd W/D (vegetatives cells): nd Motility: transient Designation: ATCC 27905 				GCA_000331305.1				B	Aerobic	1547
80	PCC 7104	Leptolyngbya	Cyanobactéries	PCC	407			Phormidium sp., Lyngbya lagerheimii	NIBB 1095 as Phormidium	01-01-1960	22°	Bot. Mar., 1962, 4, 129-139; J. Gen. Microbiol., 1979, 111, 1-61; Subsection III, in «Bergey's Manual of Systematic Bacteriology», 2001, 2nd Ed., 1, 539-562.		false		false	false	false		C. Van Baalen as Lyngbya lagerheimii MONT	Soil, rock at shoreline	%G+C: 57.7 Genome size (Gdal): 4.65 Nutrition: chemoheterotroph Salt tolerance: euryhaline N2 fixation: anaerobic Pigments C-PE: - Pigments PEC: - CCA: - W/D (vegetatives cells): 1 - 1.5 W/D (transient stages): n/a Motility: transient Gas vesicles: - Designation: ATCC 29117 				GCA_000309385.1 			Montauk Point, Long Island, New York, U.S.A.	B	Aerobic	1539
81	PCC 7105	Geitlerinema	Cyanobactéries	PCC	407			Oscillatoria williamsii		01-01-1960	22°	J. Gen. Microbiol., 1963, 32, 457-463; J. Gen. Microbiol., 1979, 111, 1-61; Methods Enzymol., 1988, 167, 28-67; Subsection III, in «Bergey's Manual of Systematic Bacteriology», 2001, 2nd Ed., 1, 539-562.		false		false	false	false		C. Van Baalen as Oscillatoria williamsii MEV <- (I) J. J. A. McLaughlin, Haskins Laboratories 	Source unknown	%G+C: 53 Genome size (Gdal): 3.39 Nutrition: chemoheterotroph Salt tolerance: marine N2 fixation: - Pigments C-PE: - Pigments PEC: - CCA: - W/D (vegetatives cells): 2 - 2.5 W/D (transient stages): n/a Motility: permanent Gas vesicles: - Designation: ATCC 29120 				GCA_000332355.1				B	Aerobic	1535
82	PCC 7107	Nostoc	Cyanobactéries	PCC	407			 		01-01-1970	22°	J. Gen. Microbiol., 1979, 111, 1-61; Subsection IV, in «Bergey's Manual of Systematic Bacteriology», 2001b, 2nd Ed., 1, 562-589.		false		false	false	false		A. Neilson as Anabaena IV.I Ana	Shallow pond	%G+C: 41.8 Nutrition: chemoheterotroph N2 fixation: aerobic Pigments C-PE: - Pigments PEC: + CCA: - W/D (vegetatives cells): nd W/D (transient stages): nd Motility: transient Gas vesicles: - Designation: ATCC 29150 				GCA_000316625.1			Point Reyes Peninsula, California, U.S.A.	B	Aerobic	1547
83	PCC 7108	Anabaena	Cyanobactéries	PCC	407			 		01-01-1970	22°	J. Gen. Microbiol., 1979, 111, 1-61; Subsection IV, in «Bergey's Manual of Systematic Bacteriology», 2001b, 2nd Ed., 1, 562-589.		false		false	false	false		J. B. Waterbury as Anabaena J.1	Intertidal zone	%G+C: 42.3 Genome size (Gdal): 3.7 Nutrition: obligate autotroph N2 fixation: aerobic Pigments C-PE: - Pigments PEC: + CCA: - W/D (vegetatives cells): nd W/D (transient stages): n/a Motility: permanent Gas vesicles: - Designation: ATCC 29208 (no longer available) 				GCA_000332135.1			Moss Beach, California, U.S.A.	B	Aerobic	1547
84	PCC 7109	Gloeothece	Cyanobactéries	PCC	407					01-01-1971	22°	J. Gen. Microbiol., 1979, 111, 1-61.		false		false	false	false		J. B. Waterbury as Gloeocapsa Z.1	Cave, limestone	%G+C: 42 Genome size (Gdal): 5.22 Nutrition: obligate autotroph Salt tolerance: stenohaline N2 fixation: aerobic Pigments C-PE: + Pigments PEC: - CCA: I W/D (vegetatives cells): 5 -6 W/D (transient stages): n/a Motility: - Gas vesicles: - Designation: ATCC 29163 							Bermuda	B	Aerobic	1547
85	PCC 7110	Scytonema	Cyanobactéries	PCC	407			 	ACMM 419	01-01-1971	22°C°	J. Gen. Microbiol., 1979, 111, 1-61; Catalogue & Taxonomic Handbook, 1992, Institut Pasteur, Paris, 1-103; Subsection IV, in «Bergey's Manual of Systematic Bacteriology», 2001b, 2nd Ed., 1, 562-589.		false		false	false	false		J. B. Waterbury	Crystal Cave, limestone	%G+C: 44.4 Genome size (Gdal): 7.4 Nutrition: chemoheterotroph N2 fixation: aerobic Pigments C-PE: - Pigments PEC: + CCA: - W/D (transient stages): nd W/D (vegetatives cells): nd Motility: - Gas vesicles: - Designation: ATCC 29171 				GCA_000346485.1			Bermuda	B	Aerobic	1547
86	PCC 7111	Rivularia	Cyanobactéries	PCC	407					01-01-1970	22°	J. Gen. Microbiol., 1979, 111, 1-61.		false		false	false	false		J. B. Waterbury as Rivularia W5	Hemispherical macroscopic colony	%G+C: 44.4 Genome size (Gdal): 5.35 Nutrition: chemoheterotroph Salt tolerance: marine N2 fixation: aerobic Pigments C-PE: - Pigments PEC: - CCA: - W/D (transient stages): nd W/D (vegetatives cells): nd Motility: transient Designation: ATCC 29199 as Calothrix sp. 							Intertidal zone, Bodega, California, USA	B	Aerobic	1548
87	PCC 7112	Oscillatoria	Cyanobactéries	PCC	407			 		01-01-1970	22°	J. Gen. Microbiol., 1979, 111, 1-61; Catalogue & Taxonomic Handbook, 1992, Institut Pasteur, Paris, 1-103; Subsection III, in «Bergey's Manual of Systematic Bacteriology», 2001, 2nd Ed., 1, 539-562.		false		false	false	false		A. Neilson as Oscillatoria Mc Br	Soil, orchid house	%G+C: 49.5 Nutrition: obligate autotroph N2 fixation: - Pigments C-PE: + Pigments PEC: - CCA: I W/D (vegetatives cells): 7 - 8 W/D (transient stages): n/a Motility: permanent Designation: ATCC 29134  (no longer available) 				GCA_000317475.1			San Francisco, USA	B	Aerobic	1539
88	PCC 7113	Microcoleus	Cyanobactéries	PCC	407			Microcoleus lacustris		01-01-1971	22°	J. Gen. Microbiol., 1979, 111, 1-61; Catalogue & Taxonomic Handbook, 1992, Institut Pasteur, Paris, 1-103.		false		false	false	false		A. Neilson as Oscillatoria Mc with	Soil, orchid house	%G+C: 46.7 Genome size (Gdal): 5.1 Nutrition: chemoheterotroph Salt tolerance: stenohaline N2 fixation: anaerobic Pigments C-PE: + Pigments PEC: - CCA: II W/D (vegetatives cells): 3.5 - 4 W/D (transient stages): n/a Motility: permanent Gas vesicles: - Designation: ATCC 29206 				GCA_000317515.1			San Francisco, USA	B	Aerobic	1539
89	PCC 7114	Leptolyngbya	Cyanobactéries	PCC	407					01-01-1971	22°	J. Gen. Microbiol., 1979, 111, 1-61.		false		false	false	false		A. Neilson as Plectonema Mc green	Soil, orchid house	%G+C: 52 Nutrition: photoheterotroph N2 fixation: - Pigments C-PE: - Pigments PEC: - CCA: - W/D (vegetatives cells): 1.5 - 2 W/D (transient stages): n/a Phages (res): LPP-1 Motility: transient Gas vesicles: - Genome size (Gdal): nd Designation: ATCC 29121 							San Francisco, USA	B	Aerobic	1539
90	PCC 7115	Fischerella	Cyanobactéries	PCC	407			Mastigocladus sp.		01-01-1971	37°	J. Gen. Microbiol., 1979, 111, 1-61; Subsection V, in «Bergey's Manual of Systematic Bacteriology», 2001, 2nd Ed., 1, 589-599.		false		false	false	false		A. Neilson; <- (P) F. Haxo as Mastigocladus sp. H2	Water, thermal spring	%G+C: 44.4 Genome size (Gdal): 4.55 Nutrition: chemoheterotroph Thermophilie: + N2 fixation: aerobic Pigments C-PE: - Pigments PEC: + CCA: - W/D (vegetatives cells): 5 - 8 W/D (transient stages): 2.5 - 3.5 Motility: transient Gas vesicles: - Designation: ATCC 27929 							Tassajara, California, USA	B	Aerobic	1547
91	PCC 7116	Rivularia	Cyanobactéries	PCC	407			 	ACMM 394 as Calothrix sp.	01-01-1968	22°	J. Gen. Microbiol., 1979, 111, 1-61; Catalogue & Taxonomic Handbook (Institut Pasteur, Paris), 1992, 1-103; Subsection IV, in «Bergey's Manual of Systematic Bacteriology», 2001b, 2nd Ed., 1, 562-589.		false		false	false	false		A. Neilson as Rivularia LIP <- (I) R. A. Lewin		%G+C: 40.8 Genome size (Gdal): 5.41 Nutrition: chemoheterotroph Salt tolerance: marine N2 fixation: aerobic Pigments C-PE: - Pigments PEC: + CCA: - W/D (transient stages): nd W/D (vegetatives cells): nd Motility: transient Designation: ATCC 29111  as Calothrix sp. 				GCA_000316665.1			La Paz, Baja California, USA	B	Aerobic	1548
92	PCC 7117	Synechococcus	Cyanobactéries	PCC	407			 		01-01-1971	22°	J. Gen. Microbiol., 1979, 111, 1-61.		false		false	false	false		A. Neilson as Synechococcus PH=II	Low salinity brine pond	%G+C: 48.5 Genome size (Gdal): nd Nutrition: obligate autotroph Salt tolerance: euryhaline N2 fixation: - Pigments C-PE: - Pigments PEC: - CCA: - W/D (vegetatives cells): 1.2 - 1.5 W/D (transient stages): n/a Phages (res): AS-1M and SM-1 Motility: - Gas vesicles: - Designation: ATCC 29139  (no longer available) 							Port Hedland, Western Australia	B	Aerobic	1536
93	PCC 7118	Nostoc	Cyanobactéries	PCC	407			Anabaena variabilis	ACMM 492 as Anabaena variabilis;CALU 458;DCC D0670 as Anabaena variabilis;IAM M-3 as Anabaena variabilis;NIES 23 as Anabaena variabilis		22°	Am. J. Bot., 1955, 42, 282-287; J. Gen. Microbiol., 1979, 111, 1-61.		false		false	false	false		N. G. Carr <- (P) J. Myers as Anabaena variabilis Kütz <- R. C. Hecker as Cylindrospermum sp.	Source unknown	%G+C: 43.4 Genome size (Gdal): 3.74 Nutrition: obligate autotroph N2 fixation: anaerobic Pigments C-PE: - Pigments PEC: + CCA: - W/D (vegetatives cells): 3 - 3.5 W/D (transient stages): nd Phages (sens): N-1 Motility: - Gas vesicles: transient, dispersed Designation: ATCC 27892 								B	Aerobic	1539
94	PCC 7118/1	Nostoc	Cyanobactéries	PCC	407						22°			false		false	false	false		R. Rippka		Nutrition: obligate autotroph N2 fixation: aerobic Pigments C-PE: - Pigments PEC: + CCA: - W/D (vegetatives cells): 3 - 3.5 W/D (transient stages): nd Phages (sens): N-1 Motility: - Gas vesicles: transient, dispersed 								B	Aerobic	1547
95	PCC 7118/2	Nostoc	Cyanobactéries	PCC	407						22°			false		false	false	false		R. Rippka		Nutrition: obligate autotroph N2 fixation: aerobic Pigments C-PE: - Pigments PEC: + CCA: - W/D (vegetatives cells): 3 - 3.5 W/D (transient stages): nd Phages (sens): N-1 Motility: - Gas vesicles: transient, dispersed 								B	Aerobic	1547
96	PCC 7119	Nostoc	Cyanobactéries	PCC	407			Anabaena sp., Nostoc muscorum			22°	Virology, 1971, 46, 200-208; J. Gen. Microbiol., 1979, 111, 1-61.		false		false	false	false		R. Haselkorn <- Wisconsin Univ. as Nostoc muscorum UW	Source unknown	%G+C: 42.4 Genome size (Gdal): 3.86 Nutrition: obligate autotroph N2 fixation: aerobic Pigments C-PE: - Pigments PEC: + CCA: - W/D (vegetatives cells): 3 - 3.5 W/D (transient stages): nd Phages (sens): N-1 Motility: - Gas vesicles: transient, dispersed Designation: ATCC 29151 								B	Aerobic	1547
97	PCC 7120	Nostoc	Cyanobactéries	PCC	407			Anabaena sp., Nostoc muscorum	IRRI Ab 47 XX;SAG 25.82 as Anabaena sp.;UTEX 2576 as Anabaena sp.;DCC D0672 as Anabaena sp.		22°	Virology, 1971, 46, 200-208; J. Gen. Microbiol., 1979, 111, 1-61.		false		false	false	false		R. Haselkorn <- (P) Iowa State Univ., as Nostoc muscorum ISU	Source unknown	%G+C: 42.5 Genome size (Gdal): 3.93 Nutrition: obligate autotroph N2 fixation: aerobic Pigments C-PE: - Pigments PEC: + CCA: - W/D (vegetatives cells): 3 - 3.5 W/D (transient stages): n/a Phages (sens): N-1 Motility: - Gas vesicles: negative, gvp genes present (Damerval et al. 1989) Designation: ATCC 27347 Designation: ATCC 27893 				                     Notice&nbsp;:&nbsp; This strain is cryopreserved. Thus, a delay of 1 to 4 months is necessary before dispatch.  &nbsp;  &nbsp;GCA_000009705.1  &nbsp;      				B	Aerobic	1547
98	PCC 7121	Nostoc	Cyanobactéries	PCC	407			Nostoc muscorum	CCAP 1453/12 as Nostoc muscorum;UTEX 486 as Nostoc muscorum;SAG 1453/12a as Nostoc muscorum		22°	Bot. Gaz., 1937, 98, 433-463.		false		false	false	false		R. Rippka <- (I) R. Haselkorn as Nostoc muscorum UTEX 486 <- (I) F. E. Allison	Source unknown	%G+C: 44.5 Nutrition: photoheterotroph N2 fixation: anaerobic Pigments C-PE: + Pigments PEC: - CCA: I W/D (transient stages): nd W/D (vegetatives cells): nd Motility: - 				                     Notice :  This strain is cryopreserved. Thus, a delay of 1 to 4 months is necessary before dispatch.               				B	Aerobic	1539
99	PCC 7122	Anabaena	Cyanobactéries	PCC	407			Anabaena aequalis, Anabaena cylindrica	CALU 527;IRRI Ab 48 En;NIBB 1056;PPMSU 40;DCC D0002 as Anabaena cylindrica;ACMM 393 as Anabaena cylindrica;IAM M-1 as Anabaena cylindrica;NIES 19 as Anabaena cylindrica;SAG 1403-2 as Anabaena cylindrica;CCAP 1403/2A as Anabaena cylindrica;CCAP 1403/2B as Anabaena cylindrica;UTEX B 1609 as Anabaena cylindrica;UTEX B 629 as Anabaena aequalis;UTEX B 1611 as Anabaena aequalis	01-01-1939	22°	J. Exp. Biol., 1942, 19, 78-87; J. Gen. Microbiol., 1979, 111, 1-61; Int. J. Syst. Bacteriol., 1981, 31, 139-147; Catalogue & Taxonomic Handbook, Institut Pasteur, Paris, 1992, 1-103; Subsection IV, in «Bergey's Manual of Systematic Bacteriology», 2001b, 2nd Ed., 1, 562-589.		false		false	false	false		D. Yoch or H. Bothe  <- D. Arnon laboratory, most likely Anabaena cylindrica <- UTEX or SAG <- (P) G. E. Fogg <- (P) S. P. Chu	Water, most likely pond	%G+C: 43.9 Genome size (Gdal): 3.17 Nutrition: obligate autotroph N2 fixation: aerobic Pigments C-PE: - Pigments PEC: + CCA: - W/D (transient stages): n/a W/D (vegetatives cells): nd Motility: permanent Gas vesicles: - Designation: ATCC 27899 				GCA_000317695.1			Cambridge, UK	B	Aerobic	1547
100	PCC 7123	Leptolyngbya	Cyanobactéries	PCC	407					01-01-1971	22°	J. Gen. Microbiol., 1979, 111, 1-61.		false		false	false	false		A. Neilson as Lyngbya Mc He	Soil, orchid house	%G+C: 59.2 Genome size (Gdal): 3.16 Nutrition: photoheterotroph N2 fixation: - Pigments C-PE: - Pigments PEC: - CCA: - W/D (vegetatives cells): 1 - 1.5 W/D (transient stages): n/a Motility: transient Gas vesicles: transient, dispersed Designation: ATCC 29122 							San Francisco, USA	B	Aerobic	1539
101	PCC 7126	Microchaete	Cyanobactéries	PCC	407						22°	Catalogue & Taxonomic Handbook, 1992, Institut Pasteur, Paris, 1-103.		false		false	false	false		J. B. Waterbury as Scytonema	Water, aquarium freshwater	N2 fixation: aerobic Pigments C-PE: + Pigments PEC: - CCA: III W/D (vegetatives cells): nd W/D (transient stages): nd Motility: transient 				GCA_000332295.1			Botany Department, Berkeley Univ. California, USA	B	Aerobic	1547
102	PCC 7201	Synechocystis	Cyanobactéries	PCC	407					01-01-1970	22°	J. Gen. Microbiol., 1979, 111, 1-61.		false		false	false	false		J. B. Waterbury as Aphanocapsa W5	Hemispherical macroscopic colony, bank above high water	%G+C: 46.1 Genome size (Gdal): 2.2 Nutrition: photoheterotroph Salt tolerance: euryhaline N2 fixation: - Pigments C-PE: - Pigments PEC: - CCA: - W/D (vegetatives cells): 2.3 - 2.5 W/D (transient stages): n/a Motility: permanent Gas vesicles: - Designation: ATCC 29152 							Bodega, California, USA	B	Aerobic	1539
103	PCC 7202	Cyanobacterium	Cyanobactéries	PCC	407			Synechococcus cedrorum	SAG 88.79 (B) as Synechococcus cedrorum;CCAP 1479/2a (no longer available);CCAP 1479/2b (no longer available)	01-01-1963	22°	J. Gen. Microbiol., 1979, 111, 1-61; Ann. Microbiol. (Institut Pasteur), 1983, 134B, 21-36; Subsection I, in «Bergey's Manual of Systematic Bacteriology», 2001, 2nd Ed., 1, 493-514.		false		false	false	false		R. Rippka <- (I) <- Algothèque, CNRS, Gif sur Yvette, France <- M. Lefèvre	Alkaline pond	%G+C: 39 Genome size (Gdal): 2.65 Nutrition: obligate autotroph Salt tolerance: euryhaline N2 fixation: - Pigments C-PE: - Pigments PEC: - CCA: - W/D (vegetatives cells): 1.7 - 2.2 W/D (transient stages): n/a Phages (res): AS-1M and SM-1 Motility: - Gas vesicles: - Designation: ATCC 29140  as Synechococcus sp 				GCA_000317655.1			Chad	B	Aerobic	1540
104	PCC 7203	Chroococcidiopsis	Cyanobactéries	PCC	407			Chroococcidiopsis thermalis, Myxosarcina chroococcoides	CCAP 1451/1 (no longer available);SAG 42.79 as Chroococcidiopsis thermalis	01-01-1962	22°	in «Symposium on Taxonomy and Biology of Blue-Green Algae», 1972, University of Madras, India, 41-47; Microbiol. Rev., 1978, 42, 2-44; J. Gen. Microbiol., 1979, 111, 1-61; Bergey's Manual of Systematic Bacteriology, 1989, pp. 1746-1770; Subsection II, in «Bergey's Manual of Systematic Bacteriology», 2001a, 2nd Ed., 1, 514-539.		false		false	false	false		J. B. Waterbury <- (I) CCAP <- (I) Ernst-Moritz Arndt Univ., Germany	Soil sample	%G+C: 45.8 Genome size (Gdal): 4.06 Nutrition: chemoheterotroph Salt tolerance: stenohaline N2 fixation: anaerobic Pigments C-PE: - Pigments PEC: + CCA: - W/D (vegetatives cells): 5 W/D (transient stages): 3 Motility: - Gas vesicles: - Designation: ATCC 27900 				GCA_000317125.1			near Greifswald, Germany	B	Aerobic	1539
105	PCC 7204	Rivularia	Cyanobactéries	PCC	407					01-01-1970	22°	J. Gen. Microbiol., 1979, 111, 1-61.		false		false	false	false		J. B. Waterbury as Calothrix W5(Y)	Hemispherical macroscopic colony	%G+C: 40.5 Genome size (Gdal): 5.26 Nutrition: photoheterotroph Salt tolerance: euryhaline N2 fixation: aerobic Pigments C-PE: - Pigments PEC: + CCA: - W/D (transient stages): nd W/D (vegetatives cells): nd Motility: transient Designation: ATCC 29190  as Calothrix sp. 							Intertidal zone, Bodega, California, U.S.A.	B	Aerobic	1547
106	PCC 7301	Stanieria	Cyanobactéries	PCC	407			Dermocarpa violacea	CCMEE 527;CCAP 1416/1 (no longer available);UTEX LB 1635 as Dermocarpa violacea;ACMM 424 as Dermocarpa sp	01-01-1964	22°	Microbiol. Rev., 1978, 42, 2-44; J. Gen. Microbiol., 1979, 111, 1-61; Subsection II, in «Bergey's Manual of Systematic Bacteriology», 2001a, 2nd Ed., 1, 514-539.		false		false	false	false		R. A. Lewin	Marine aquarium	%G+C: 44 Genome size (Gdal): 3.07 Nutrition: photoheterotroph Salt tolerance: marine N2 fixation: anaerobic Pigments C-PE: + Pigments PEC: - CCA: I W/D (vegetatives cells): 30 W/D (transient stages): 3 - 4 Motility: transient Gas vesicles: - Designation: ATCC 29367 							Scripps Institute of Oceanography, La Jolla, California, U.S.A.	B	Aerobic	1534
107	PCC 7302	Stanieria	Cyanobactéries	PCC	407			Dermocarpa sp.	SAG 27.84	01-01-1971	22°	Microbiol. Rev., 1978, 42, 2-44; J. Gen. Microbiol., 1979, 111, 1-61; Subsection II, in «Bergey's Manual of Systematic Bacteriology», 2001a, 2nd Ed., 1, 514-539.		false		false	false	false		J.B. Waterbury	Sea water tank	%G+C: 42.9 Nutrition: obligate autotroph Salt tolerance: marine N2 fixation: - Pigments C-PE: + Pigments PEC: - CCA: III W/D (vegetatives cells): 30 W/D (transient stages): 1.5 - 2 Motility: transient Gas vesicles: - Designation: ATCC 29368  (no longer available) 							Arizona Marine Station, Puerto Penasco, Mexico	B	Aerobic	1534
108	PCC 7304	Stanieria	Cyanobactéries	PCC	407			Dermocarpa sp.	ACMM 422 as Dermocarpa sp.		22°	Microbiol. Rev., 1978, 42, 2-44; J. Gen. Microbiol., 1979, 111, 1-61.		false		false	false	false		J. B. Waterbury	Epiphyte on Rhodochorton sp.	%G+C: 44 Nutrition: chemoheterotroph Salt tolerance: marine N2 fixation: - Pigments C-PE: + Pigments PEC: - CCA: III W/D (vegetatives cells): 20 W/D (transient stages): 1.5 - 2 Motility: transient Gas vesicles: - Designation: ATCC 29370  (no longer available) 							High intertidal zone, Bodega Marine Laboratory, California, U.S.A.	B	Aerobic	1534
109	PCC 7305	Xenococcus	Cyanobactéries	PCC	407			Dermocarpa sp.		01-01-1971	22°	Microbiol. Rev., 1978, 42, 2-44; J. Gen. Microbiol., 1979, 111, 1-61; Subsection II, in «Bergey's Manual of Systematic Bacteriology», 2001a, 2nd Ed., 1, 514-539.		false		false	false	false		R. A. Lewin as Dermocarpa sp.	Marine aquarium	%G+C: 44.2 Nutrition: obligate autotroph Salt tolerance: marine N2 fixation: anaerobic Pigments C-PE: + Pigments PEC: - CCA: III W/D (vegetatives cells): 15 W/D (transient stages): 2 - 3 Motility: - Gas vesicles: - Designation: ATCC 29373 				GCA_000332055.1			Scripps Institute of Oceanography, La Jolla, California, U.S.A.	B	Aerobic	1534
110	PCC 7306	Xenococcus	Cyanobactéries	PCC	407				SAG 28.84	01-01-1970	22°	Microbiol. Rev., 1978, 42, 2-44; J. Gen. Microbiol., 1979, 111, 1-61.		false		false	false	false		J. B. Waterbury	Rock chip	Nutrition: obligate autotroph Salt tolerance: marine N2 fixation: - Pigments C-PE: + Pigments PEC: - CCA: III W/D (vegetatives cells): 25 W/D (transient stages): 2 - 3 Motility: - Gas vesicles: - Designation: ATCC 29374  (no longer available) 							High intertidal zone, Pillar Point, California, U.S.A.	B	Aerobic	1534
111	PCC 7307	Xenococcus	Cyanobactéries	PCC	407					01-01-1970	22°	Microbiol. Rev., 1978, 42, 2-44; J. Gen. Microbiol., 1979, 111, 1-61.		false		false	false	false		J. B. Waterbury	Rock chip	%G+C: 43.6 Genome size (Gdal): 3.99 Nutrition: photoheterotroph Salt tolerance: marine N2 fixation: - Pigments C-PE: + Pigments PEC: - CCA: III W/D (vegetatives cells): 10 - 15 W/D (transient stages): 2 - 3 Motility: - Gas vesicles: - Designation: ATCC 29375 							High intertidal zone, Horseshoe Cove, Bodega Marine Laboratory, California, U.S.A.	B	Aerobic	1534
112	PCC 73101	Cylindrospermum	Cyanobactéries	PCC	407			Cylindropsermum stagnale	SAG 45.79 as Cylindrospermum stagnale		22°	J. Gen. Microbiol., 1979, 111, 1-61.		false		false	false	false		R. Rippka <- (l) W. Koch as Cylindrospermum stagnale	Source unknown	%G+C: 46.7 Genome size (Gdal): 5.71 Nutrition: obligate autotroph N2 fixation: aerobic Pigments C-PE: - Pigments PEC: + CCA: - W/D (vegetatives cells): nd W/D (transient stages): n/a Gas vesicles: - Designation: ATCC 29535  (no longer available) 								B	Aerobic	1547
113	PCC 73102	Nostoc	Cyanobactéries	PCC	407			 	ACMM 408;DCC D0671;IRRI Ns 42 Au	01-01-1973	22°	J. Gen. Microbiol., 1979, 111, 1-61; Catalogue & Taxonomic Handbook, 1992, Institut Pasteur, Paris, 1-103; Subsection IV, in «Bergey's Manual of Systematic Bacteriology», 2001b, 2nd Ed., 1, 562-589.		false		false	false	false		R. Rippka	Root section, Macrozamia sp.	%G+C: 45.2 Genome size (Gdal): 4.89 Nutrition: chemoheterotroph N2 fixation: aerobic Pigments C-PE: + Pigments PEC: - CCA: II W/D (vegetatives cells): 5 - 6 W/D (transient stages): 1.5 - 2 Motility: transient Gas vesicles: transient, polar Designation: ATCC 29133 				GCA_000020025.1			Australia	B	Aerobic	1547
